LocationID,Easting,Northing
ARPO_InvPla_1,652474.855,3766370.810
ARPO_InvPla_10,653292.594,3766353.466
ARPO_InvPla_100,652456.138,3765394.678
ARPO_InvPla_101,652752.878,3765378.477
ARPO_InvPla_102,652272.748,3765310.482
ARPO_InvPla_103,652383.973,3765299.494
ARPO_InvPla_104,652413.228,3765209.075
ARPO_InvPla_105,652537.514,3765112.236
ARPO_InvPla_106,652962.462,3764933.620
ARPO_InvPla_107,652844.919,3764812.703
ARPO_InvPla_108,652913.797,3764846.973
ARPO_InvPla_109,653001.638,3764847.689
ARPO_InvPla_11,652388.580,3766243.723
ARPO_InvPla_110,653086.569,3764774.547
ARPO_InvPla_111,652916.321,3764762.455
ARPO_InvPla_112,653002.324,3764758.415
ARPO_InvPla_113,652995.553,3764674.368
ARPO_InvPla_114,653091.435,3764669.277
ARPO_InvPla_115,653068.153,3764593.059
ARPO_InvPla_116,660590.156,3761972.715
ARPO_InvPla_117,660690.287,3761998.181
ARPO_InvPla_118,660760.280,3761967.043
ARPO_InvPla_119,660430.197,3761875.736
ARPO_InvPla_12,652462.504,3766287.905
ARPO_InvPla_120,660511.807,3761893.159
ARPO_InvPla_121,660598.568,3761884.853
ARPO_InvPla_122,660694.522,3761895.368
ARPO_InvPla_123,660787.851,3761887.217
ARPO_InvPla_124,660324.515,3761799.922
ARPO_InvPla_125,660421.271,3761803.797
ARPO_InvPla_126,660503.397,3761815.998
ARPO_InvPla_127,660330.048,3761718.196
ARPO_InvPla_128,660416.246,3761721.209
ARPO_InvPla_129,660882.431,3761729.342
ARPO_InvPla_13,652552.473,3766287.905
ARPO_InvPla_130,660937.318,3761702.849
ARPO_InvPla_131,660383.809,3761624.451
ARPO_InvPla_132,660517.205,3761610.615
ARPO_InvPla_133,660607.059,3761613.180
ARPO_InvPla_134,660693.261,3761624.583
ARPO_InvPla_135,660778.547,3761615.179
ARPO_InvPla_136,660871.769,3761623.172
ARPO_InvPla_137,660956.711,3761622.243
ARPO_InvPla_138,660414.373,3761531.258
ARPO_InvPla_139,660511.236,3761533.901
ARPO_InvPla_14,652642.444,3766287.905
ARPO_InvPla_140,660601.201,3761533.901
ARPO_InvPla_141,660691.165,3761533.901
ARPO_InvPla_142,660781.131,3761533.901
ARPO_InvPla_143,660871.096,3761533.901
ARPO_InvPla_144,660958.771,3761533.817
ARPO_InvPla_145,660186.736,3761431.899
ARPO_InvPla_146,660421.367,3761448.749
ARPO_InvPla_147,660511.236,3761443.937
ARPO_InvPla_148,660601.201,3761443.937
ARPO_InvPla_149,660691.165,3761443.937
ARPO_InvPla_15,652732.414,3766287.905
ARPO_InvPla_150,660781.131,3761443.937
ARPO_InvPla_151,660871.096,3761443.937
ARPO_InvPla_152,660959.252,3761443.853
ARPO_InvPla_153,660050.477,3761340.360
ARPO_InvPla_154,660153.385,3761353.046
ARPO_InvPla_155,660258.496,3761358.211
ARPO_InvPla_156,660419.261,3761350.512
ARPO_InvPla_157,660517.703,3761366.345
ARPO_InvPla_158,660668.866,3761353.800
ARPO_InvPla_159,660781.131,3761353.972
ARPO_InvPla_16,652822.383,3766287.905
